metodo,nodos,num_de_instancia,tiempo_s,memoria_pico_MB,iteraciones,valor_objetivo
HookeJeeves,100,7,0.016529560089111328,158.59765625,28,23024918.686071273
Weiszfeld1,100,7,0.002778768539428711,158.59765625,120,23024918.68607128
Descenso,100,7,0.013042449951171875,158.59765625,80,23024918.686071273
HookeJeeves,100,8,0.009475231170654297,158.59765625,20,19642414.896190427
Weiszfeld1,100,8,0.004313230514526367,158.59765625,144,19642414.896190435
Descenso,100,8,0.015108823776245117,158.59765625,100,19642414.896190435
HookeJeeves,100,9,0.016562223434448242,158.59765625,32,22063000.048698653
Weiszfeld1,100,9,0.003228902816772461,158.59765625,148,22063000.04869866
Descenso,100,9,0.011730432510375977,158.59765625,76,22063000.048698664
HookeJeeves,100,10,0.016199111938476562,158.59765625,28,17980748.208795745
Weiszfeld1,100,10,0.0038514137268066406,158.59765625,124,17980748.208795752
Descenso,100,10,0.011781930923461914,158.59765625,72,17980748.208795752
HookeJeeves,100,11,0.014130353927612305,158.59765625,28,20176509.08593121
Weiszfeld1,100,11,0.0042896270751953125,158.59765625,148,20176509.085931223
Descenso,100,11,0.010538101196289062,158.59765625,64,20176509.08593123
HookeJeeves,100,12,0.010197877883911133,158.59765625,20,19611600.333816797
Weiszfeld1,100,12,0.003094911575317383,158.59765625,124,19611600.333816804
Descenso,100,12,0.011567115783691406,158.59765625,72,19611600.3338168
HookeJeeves,100,13,0.008693695068359375,158.59765625,16,19268061.31709015
Weiszfeld1,100,13,0.004314899444580078,158.59765625,196,19268061.317090154
Descenso,100,13,0.010360240936279297,158.59765625,68,19268061.317090154
HookeJeeves,100,14,0.008367776870727539,158.59765625,16,15720007.473836744
Weiszfeld1,100,14,0.002898693084716797,158.59765625,132,15720007.473836748
Descenso,100,14,0.012035131454467773,158.59765625,68,15720007.473836754
HookeJeeves,100,15,0.012471437454223633,158.59765625,24,19546336.349862058
Weiszfeld1,100,15,0.0024988651275634766,158.59765625,116,19546336.349862065
Descenso,100,15,0.005544424057006836,158.59765625,32,19546336.34986206
HookeJeeves,100,16,0.012160539627075195,158.59765625,24,21449953.01608826
Weiszfeld1,100,16,0.002486705780029297,158.59765625,112,21449953.016088262
Descenso,100,16,0.008095026016235352,158.59765625,48,21449953.016088262
HookeJeeves,100,17,0.013576984405517578,158.59765625,24,18657399.0553526
Weiszfeld1,100,17,0.003107309341430664,158.59765625,140,18657399.055352606
Descenso,100,17,0.013029336929321289,158.59765625,84,18657399.055352602
HookeJeeves,100,18,0.01060795783996582,158.59765625,20,18558805.847205803
